seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
35,21,15,1,0,0,0,1,1,1,
14,21,17,1,0,0,1,1,0,1,
67,21,19,1,0,1,1,0,1,1,
8,21,21,1,0,0,1,0,0,1,
33,21,23,1,0,1,0,0,0,1,
32,21,25,1,0,0,1,0,0,1,
60,21,27,1,0,0,0,0,0,1,
15,21,29,1,0,1,1,0,1,0,
18,21,31,1,0,1,1,1,0,1,
28,21,2,2,0,1,1,0,0,0,
30,21,4,2,0,0,1,1,1,0,
9,21,6,2,0,1,1,0,0,1,
64,21,8,2,0,0,0,0,0,1,
12,21,10,2,0,0,1,0,0,0,
45,21,12,2,0,0,0,0,,1,
